Product,Style,Unit_Price
169,E,1004.94
169,F,1035.09
169,G,1066.14
169,H,1098.12
170,A,947.44
170,B,975.86
170,C,1005.14
170,D,1035.29
170,E,1066.35
170,F,1098.34
170,G,1131.29
170,H,1165.23
171,A,795.38
171,B,819.24
171,C,843.82
171,D,869.13
171,E,895.2
171,F,922.06
171,G,949.72
171,H,978.21
172,A,646.48
172,B,665.87
172,C,685.85
172,D,706.43
172,E,727.62
172,F,749.45
172,G,771.93
172,H,795.09
173,A,543.68
173,B,559.99
173,C,576.79
173,D,594.09
173,E,611.91
173,F,630.27
173,G,649.18
173,H,668.66
174,A,372.52
174,B,383.7
174,C,395.21
174,D,407.07
174,E,419.28
174,F,431.86
174,G,444.82
174,H,458.16
175,A,620.56
175,B,639.18
175,C,658.36
175,D,678.11
175,E,698.45
175,F,719.4
175,G,740.98
175,H,763.21
176,A,421.8
176,B,434.45
176,C,447.48
176,D,460.9
176,E,474.73
176,F,488.97
176,G,503.64
176,H,518.75
177,A,826.35
177,B,851.14
177,C,876.67
177,D,902.97
177,E,930.06
177,F,957.96
177,G,986.7
177,H,1016.3
178,A,487.54
178,B,502.17
178,C,517.24
178,D,532.76
178,E,548.74
178,F,565.2
178,G,582.16
178,H,599.62
179,A,209.17
179,B,215.45
179,C,221.91
179,D,228.57
179,E,235.43
179,F,242.49
179,G,249.76
179,H,257.25
180,A,515.98
180,B,531.46
180,C,547.4
180,D,563.82
180,E,580.73
180,F,598.15
180,G,616.09
180,H,634.57
181,A,92.99
181,B,95.78
181,C,98.65
181,D,101.61
181,E,104.66
181,F,107.8
181,G,111.03
181,H,114.36
182,A,500.62
182,B,515.64
182,C,531.11
182,D,547.04
182,E,563.45
182,F,580.35
182,G,597.76
182,H,615.69
183,A,840.03
183,B,865.23
183,C,891.19
183,D,917.93
183,E,945.47
183,F,973.83
183,G,1003.04
183,H,1033.13
184,A,777.49
184,B,800.81
184,C,824.83
184,D,849.57
184,E,875.06
184,F,901.31
184,G,928.35
184,H,956.2
185,A,711.17
185,B,732.51
185,C,754.49
185,D,777.12
185,E,800.43
185,F,824.44
185,G,849.17
185,H,874.65
186,A,959.6
186,B,988.39
186,C,1018.04
186,D,1048.58
186,E,1080.04
186,F,1112.44
186,G,1145.81
186,H,1180.18
187,A,701.81
187,B,722.86
187,C,744.55
187,D,766.89
187,E,789.9
187,F,813.6
187,G,838.01
187,H,863.15
188,A,190.14
188,B,195.84
188,C,201.72
188,D,207.77
188,E,214
188,F,220.42
188,G,227.03
188,H,233.84
189,A,587.44
189,B,605.06
189,C,623.21
189,D,641.91
189,E,661.17
189,F,681.01
189,G,701.44
189,H,722.48
190,A,396.62
190,B,408.52
190,C,420.78
190,D,433.4
190,E,446.4
190,F,459.79
190,G,473.58
190,H,487.79
191,A,82.77
191,B,85.25
191,C,87.81
191,D,90.44
191,E,93.15
191,F,95.94
191,G,98.82
191,H,101.78
192,A,547.43
192,B,563.85
192,C,580.77
192,D,598.19
192,E,616.14
192,F,634.62
192,G,653.66
192,H,673.27
193,A,51.93
193,B,53.49
193,C,55.09
193,D,56.74
193,E,58.44
193,F,60.19
193,G,62
193,H,63.86
194,A,286.17
194,B,294.76
194,C,303.6
194,D,312.71
194,E,322.09
194,F,331.75
194,G,341.7
194,H,351.95
195,A,31.7
195,B,32.65
195,C,33.63
195,D,34.64
195,E,35.68
195,F,36.75
195,G,37.85
195,H,38.99
196,A,426.7
196,B,439.5
196,C,452.69
196,D,466.27
196,E,480.26
196,F,494.67
196,G,509.51
196,H,524.8
197,A,882.23
197,B,908.7
197,C,935.96
197,D,964.04
197,E,992.96
197,F,1022.75
197,G,1053.43
197,H,1085.03
198,A,707.21
198,B,728.43
198,C,750.28
198,D,772.79
198,E,795.97
198,F,819.85
198,G,844.45
198,H,869.78
199,A,874.47
199,B,900.7
199,C,927.72
199,D,955.55
199,E,984.22
199,F,1013.75
199,G,1044.16
199,H,1075.48
200,A,420.94
200,B,433.57
200,C,446.58
200,D,459.98
200,E,473.78
200,F,487.99
200,G,502.63
200,H,517.71
201,A,151.2
201,B,155.74
201,C,160.41
201,D,165.22
201,E,170.18
201,F,175.29
201,G,180.55
201,H,185.97
202,A,297.1
202,B,306.01
202,C,315.19
202,D,324.65
202,E,334.39
202,F,344.42
202,G,354.75
202,H,365.39
203,A,816.17
203,B,840.66
203,C,865.88
203,D,891.86
203,E,918.62
203,F,946.18
203,G,974.57
203,H,1003.81
204,A,996.51
204,B,1026.41
204,C,1057.2
204,D,1088.92
204,E,1121.59
204,F,1155.24
204,G,1189.9
204,H,1225.6
205,A,727.26
205,B,749.08
205,C,771.55
205,D,794.7
205,E,818.54
205,F,843.1
205,G,868.39
205,H,894.44
206,A,912.06
206,B,939.42
206,C,967.6
206,D,996.63
206,E,1026.53
206,F,1057.33
206,G,1089.05
206,H,1121.72
207,A,601.82
207,B,619.87
207,C,638.47
207,D,657.62
207,E,677.35
207,F,697.67
207,G,718.6
207,H,740.16
208,A,189.09
208,B,194.76
208,C,200.6
208,D,206.62
208,E,212.82
208,F,219.2
208,G,225.78
208,H,232.55
209,A,320.37
209,B,329.98
209,C,339.88
209,D,350.08
209,E,360.58
209,F,371.4
209,G,382.54
209,H,394.02
210,A,144.1
210,B,148.42
210,C,152.87
210,D,157.46
210,E,162.18
210,F,167.05
210,G,172.06
210,H,177.22
211,A,687.13
211,B,707.74
211,C,728.97
211,D,750.84
211,E,773.37
211,F,796.57
211,G,820.47
211,H,845.08
212,A,454.77
212,B,468.41
212,C,482.46
212,D,496.93
212,E,511.84
212,F,527.2
212,G,543.02
212,H,559.31
213,A,953.88
213,B,982.5
213,C,1011.98
213,D,1042.34
213,E,1073.61
213,F,1105.82
213,G,1138.99
213,H,1173.16
214,A,827.24
214,B,852.06
214,C,877.62
214,D,903.95
214,E,931.07
214,F,959
214,G,987.77
214,H,1017.4
215,A,544.49
215,B,560.82
215,C,577.64
215,D,594.97
215,E,612.82
215,F,631.2
215,G,650.14
215,H,669.64
216,A,95.96
216,B,98.84
216,C,101.81
216,D,104.86
216,E,108.01
216,F,111.25
216,G,114.59
216,H,118.03
217,A,509.13
217,B,524.4
217,C,540.13
217,D,556.33
217,E,573.02
217,F,590.21
217,G,607.92
217,H,626.16
218,A,737.63
218,B,759.76
218,C,782.55
218,D,806.03
218,E,830.21
218,F,855.12
218,G,880.77
218,H,907.19
219,A,231.06
219,B,237.99
219,C,245.13
219,D,252.48
219,E,260.05
219,F,267.85
219,G,275.89
219,H,284.17
220,A,27.5
220,B,28.33
220,C,29.18
220,D,30.06
220,E,30.96
220,F,31.89
220,G,32.85
220,H,33.84
221,A,641.46
221,B,660.7
221,C,680.52
221,D,700.94
221,E,721.97
221,F,743.63
221,G,765.94
221,H,788.92
222,A,114.49
222,B,117.92
222,C,121.46
222,D,125.1
222,E,128.85
222,F,132.72
222,G,136.7
222,H,140.8
223,A,758.55
223,B,781.31
223,C,804.75
223,D,828.89
223,E,853.76
223,F,879.37
223,G,905.75
223,H,932.92
224,A,404.94
224,B,417.09
224,C,429.6
224,D,442.49
224,E,455.76
224,F,469.43
224,G,483.51
224,H,498.02
225,A,677.11
225,B,697.42
225,C,718.34
225,D,739.89
225,E,762.09
225,F,784.95
225,G,808.5
225,H,832.76
226,A,251.49
226,B,259.03
226,C,266.8
226,D,274.8
226,E,283.04
226,F,291.53
226,G,300.28
226,H,309.29
227,A,296.63
227,B,305.53
227,C,314.7
227,D,324.14
227,E,333.86
227,F,343.88
227,G,354.2
227,H,364.83
228,A,825.3
228,B,850.06
228,C,875.56
228,D,901.83
228,E,928.88
228,F,956.75
228,G,985.45
228,H,1015.01
229,A,764.44
229,B,787.37
229,C,810.99
229,D,835.32
229,E,860.38
229,F,886.19
229,G,912.78
229,H,940.16
230,A,746.25
230,B,768.64
230,C,791.7
230,D,815.45
230,E,839.91
230,F,865.11
230,G,891.06
230,H,917.79
231,A,80.83
231,B,83.25
231,C,85.75
231,D,88.32
231,E,90.97
231,F,93.7
231,G,96.51
231,H,99.41
232,A,382.38
232,B,393.85
232,C,405.67
232,D,417.84
232,E,430.38
232,F,443.29
232,G,456.59
232,H,470.29
233,A,366.42
233,B,377.41
233,C,388.73
233,D,400.39
233,E,412.4
233,F,424.77
233,G,437.51
233,H,450.64
234,A,624.48
234,B,643.21
234,C,662.51
234,D,682.39
234,E,702.86
234,F,723.95
234,G,745.67
234,H,768.04
235,A,740.16
235,B,762.36
235,C,785.23
235,D,808.79
235,E,833.05
235,F,858.04
235,G,883.78
235,H,910.29
236,A,293
236,B,301.79
236,C,310.84
236,D,320.17
236,E,329.78
236,F,339.67
236,G,349.86
236,H,360.36
237,A,721.92
237,B,743.58
237,C,765.89
237,D,788.87
237,E,812.54
237,F,836.92
237,G,862.03
237,H,887.89
238,A,404.4
238,B,416.53
238,C,429.03
238,D,441.9
238,E,455.16
238,F,468.81
238,G,482.87
238,H,497.36
239,A,879.42
239,B,905.8
239,C,932.97
239,D,960.96
239,E,989.79
239,F,1019.48
239,G,1050.06
239,H,1081.56
240,A,39.62
240,B,40.81
240,C,42.03
240,D,43.29
240,E,44.59
240,F,45.93
240,G,47.31
240,H,48.73
241,A,29.44
241,B,30.32
241,C,31.23
241,D,32.17
241,E,33.14
241,F,34.13
241,G,35.15
241,H,36.2
242,A,702.7
242,B,723.78
242,C,745.49
242,D,767.85
242,E,790.89
242,F,814.62
242,G,839.06
242,H,864.23
243,A,863.28
243,B,889.18
243,C,915.86
243,D,943.34
243,E,971.64
243,F,1000.79
243,G,1030.81
243,H,1061.73
244,A,948.85
244,B,977.32
244,C,1006.64
244,D,1036.84
244,E,1067.95
244,F,1099.99
244,G,1132.99
244,H,1166.98
245,A,468.15
245,B,482.19
245,C,496.66
245,D,511.56
245,E,526.91
245,F,542.72
245,G,559
245,H,575.77
246,A,280.92
246,B,289.35
246,C,298.03
246,D,306.97
246,E,316.18
246,F,325.67
246,G,335.44
246,H,345.5
247,A,163.37
247,B,168.27
247,C,173.32
247,D,178.52
247,E,183.88
247,F,189.4
247,G,195.08
247,H,200.93
248,A,947.94
248,B,976.38
248,C,1005.67
248,D,1035.84
248,E,1066.92
248,F,1098.93
248,G,1131.9
248,H,1165.86
249,A,201.31
249,B,207.35
249,C,213.57
249,D,219.98
249,E,226.58
249,F,233.38
249,G,240.38
249,H,247.59
250,A,33.66
250,B,34.67
250,C,35.71
250,D,36.78
250,E,37.88
250,F,39.02
250,G,40.19
250,H,41.4
251,A,117.56
251,B,121.09
251,C,124.72
251,D,128.46
251,E,132.31
251,F,136.28
251,G,140.37
251,H,144.58
252,A,56.98
252,B,58.69
252,C,60.45
252,D,62.26
252,E,64.13
252,F,66.05
252,G,68.03
252,H,70.07
253,A,138.03
253,B,142.17
253,C,146.44
253,D,150.83
253,E,155.35
253,F,160.01
253,G,164.81
253,H,169.75
254,A,188.49
254,B,194.14
254,C,199.96
254,D,205.96
254,E,212.14
254,F,218.5
254,G,225.06
254,H,231.81
255,A,608.13
255,B,626.37
255,C,645.16
255,D,664.51
255,E,684.45
255,F,704.98
255,G,726.13
255,H,747.91
256,A,561.09
256,B,577.92
256,C,595.26
256,D,613.12
256,E,631.51
256,F,650.46
256,G,669.97
256,H,690.07
257,A,538.43
257,B,554.58
257,C,571.22
257,D,588.36
257,E,606.01
257,F,624.19
257,G,642.92
257,H,662.21
258,A,475.45
258,B,489.71
258,C,504.4
258,D,519.53
258,E,535.12
258,F,551.17
258,G,567.71
258,H,584.74
259,A,228.22
259,B,235.07
259,C,242.12
259,D,249.38
259,E,256.86
259,F,264.57
259,G,272.51
259,H,280.69
260,A,112.95
260,B,116.34
260,C,119.83
260,D,123.42
260,E,127.12
260,F,130.93
260,G,134.86
260,H,138.91
261,A,105.95
261,B,109.13
261,C,112.4
261,D,115.77
261,E,119.24
261,F,122.82
261,G,126.5
261,H,130.3
262,A,476.08
262,B,490.36
262,C,505.07
262,D,520.22
262,E,535.83
262,F,551.9
262,G,568.46
262,H,585.51
263,A,867.76
263,B,893.79
263,C,920.6
263,D,948.22
263,E,976.67
263,F,1005.97
263,G,1036.15
263,H,1067.23
264,A,846.72
264,B,872.12
264,C,898.28
264,D,925.23
264,E,952.99
264,F,981.58
264,G,1011.03
264,H,1041.36
265,A,89.04
265,B,91.71
265,C,94.46
265,D,97.29
265,E,100.21
265,F,103.22
265,G,106.32
265,H,109.51
266,A,130.28
266,B,134.19
266,C,138.22
266,D,142.37
266,E,146.64
266,F,151.04
266,G,155.57
266,H,160.24
267,A,84.17
267,B,86.7
267,C,89.3
267,D,91.98
267,E,94.74
267,F,97.58
267,G,100.51
267,H,103.53
268,A,258.83
268,B,266.59
268,C,274.59
268,D,282.83
268,E,291.31
268,F,300.05
268,G,309.05
268,H,318.32
269,A,268.78
269,B,276.84
269,C,285.15
269,D,293.7
269,E,302.51
269,F,311.59
269,G,320.94
269,H,330.57
270,A,799.67
270,B,823.66
270,C,848.37
270,D,873.82
270,E,900.03
270,F,927.03
270,G,954.84
270,H,983.49
271,A,725.72
271,B,747.49
271,C,769.91
271,D,793.01
271,E,816.8
271,F,841.3
271,G,866.54
271,H,892.54
272,A,189.85
272,B,195.55
272,C,201.42
272,D,207.46
272,E,213.68
272,F,220.09
272,G,226.69
272,H,233.49
273,A,263.13
273,B,271.02
273,C,279.15
273,D,287.52
273,E,296.15
273,F,305.03
273,G,314.18
273,H,323.61
274,A,252.21
274,B,259.78
274,C,267.57
274,D,275.6
274,E,283.87
274,F,292.39
274,G,301.16
274,H,310.19
275,A,730.81
275,B,752.73
275,C,775.31
275,D,798.57
275,E,822.53
275,F,847.21
275,G,872.63
275,H,898.81
276,A,91.51
276,B,94.26
276,C,97.09
276,D,100
276,E,103
276,F,106.09
276,G,109.27
276,H,112.55
277,A,587.4
277,B,605.02
277,C,623.17
277,D,641.87
277,E,661.13
277,F,680.96
277,G,701.39
277,H,722.43
278,A,252.12
278,B,259.68
278,C,267.47
278,D,275.49
278,E,283.75
278,F,292.26
278,G,301.03
278,H,310.06
279,A,114.81
279,B,118.25
279,C,121.8
279,D,125.45
279,E,129.21
279,F,133.09
279,G,137.08
279,H,141.19
280,A,279.72
280,B,288.11
280,C,296.75
280,D,305.65
280,E,314.82
280,F,324.26
280,G,333.99
280,H,344.01
281,A,357.14
281,B,367.85
281,C,378.89
281,D,390.26
281,E,401.97
281,F,414.03
281,G,426.45
281,H,439.24
282,A,496.82
282,B,511.72
282,C,527.07
282,D,542.88
282,E,559.17
282,F,575.95
282,G,593.23
282,H,611.03
283,A,842.73
283,B,868.01
283,C,894.05
283,D,920.87
283,E,948.5
283,F,976.96
283,G,1006.27
283,H,1036.46
284,A,72.57
284,B,74.75
284,C,76.99
284,D,79.3
284,E,81.68
284,F,84.13
284,G,86.65
284,H,89.25
285,A,144.01
285,B,148.33
285,C,152.78
285,D,157.36
285,E,162.08
285,F,166.94
285,G,171.95
285,H,177.11
286,A,563.35
286,B,580.25
286,C,597.66
286,D,615.59
286,E,634.06
286,F,653.08
286,G,672.67
286,H,692.85
287,A,209.29
287,B,215.57
287,C,222.04
287,D,228.7
287,E,235.56
287,F,242.63
287,G,249.91
287,H,257.41
288,A,976.58
288,B,1005.88
288,C,1036.06
288,D,1067.14
288,E,1099.15
288,F,1132.12
288,G,1166.08
288,H,1201.06
289,A,253.28
289,B,260.88
289,C,268.71
289,D,276.77
289,E,285.07
289,F,293.62
289,G,302.43
289,H,311.5
290,A,338.04
290,B,348.18
290,C,358.63
290,D,369.39
290,E,380.47
290,F,391.88
290,G,403.64
290,H,415.75
291,A,637.56
291,B,656.69
291,C,676.39
291,D,696.68
291,E,717.58
291,F,739.11
291,G,761.28
291,H,784.12
292,A,957.05
292,B,985.76
292,C,1015.33
292,D,1045.79
292,E,1077.16
292,F,1109.47
292,G,1142.75
292,H,1177.03
293,A,537.83
293,B,553.96
293,C,570.58
293,D,587.7
293,E,605.33
293,F,623.49
293,G,642.19
293,H,661.46
294,A,212.54
294,B,218.92
294,C,225.49
294,D,232.25
294,E,239.22
294,F,246.4
294,G,253.79
294,H,261.4
295,A,356.82
295,B,367.52
295,C,378.55
295,D,389.91
295,E,401.61
295,F,413.66
295,G,426.07
295,H,438.85
296,A,117.65
296,B,121.18
296,C,124.82
296,D,128.56
296,E,132.42
296,F,136.39
296,G,140.48
296,H,144.69
297,A,530.28
297,B,546.19
297,C,562.58
297,D,579.46
297,E,596.84
297,F,614.75
297,G,633.19
297,H,652.19
298,A,855.03
298,B,880.68
298,C,907.1
298,D,934.31
298,E,962.34
298,F,991.21
298,G,1020.95
298,H,1051.58
299,A,58.75
299,B,60.51
299,C,62.33
299,D,64.2
299,E,66.13
299,F,68.11
299,G,70.15
299,H,72.25
300,A,419.18
300,B,431.76
300,C,444.71
300,D,458.05
300,E,471.79
300,F,485.94
300,G,500.52
300,H,515.54
301,A,904.84
301,B,931.99
301,C,959.95
301,D,988.75
301,E,1018.41
301,F,1048.96
301,G,1080.43
301,H,1112.84
302,A,906.92
302,B,934.13
302,C,962.15
302,D,991.01
302,E,1020.74
302,F,1051.36
302,G,1082.9
302,H,1115.39
303,A,648.19
303,B,667.64
303,C,687.67
303,D,708.3
303,E,729.55
303,F,751.44
303,G,773.98
303,H,797.2
304,A,852.57
304,B,878.15
304,C,904.49
304,D,931.62
304,E,959.57
304,F,988.36
304,G,1018.01
304,H,1048.55
305,A,533.96
305,B,549.98
305,C,566.48
305,D,583.47
305,E,600.97
305,F,619
305,G,637.57
305,H,656.7
306,A,780.57
306,B,803.99
306,C,828.11
306,D,852.95
306,E,878.54
306,F,904.9
306,G,932.05
306,H,960.01
307,A,910.3
307,B,937.61
307,C,965.74
307,D,994.71
307,E,1024.55
307,F,1055.29
307,G,1086.95
307,H,1119.56
308,A,882.06
308,B,908.52
308,C,935.78
308,D,963.85
308,E,992.77
308,F,1022.55
308,G,1053.23
308,H,1084.83
309,A,917.56
309,B,945.09
309,C,973.44
309,D,1002.64
309,E,1032.72
309,F,1063.7
309,G,1095.61
309,H,1128.48
310,A,957.59
310,B,986.32
310,C,1015.91
310,D,1046.39
310,E,1077.78
310,F,1110.11
310,G,1143.41
310,H,1177.71
311,A,10.01
311,B,10.31
311,C,10.62
311,D,10.94
311,E,11.27
311,F,11.61
311,G,11.96
311,H,12.32
312,A,134.18
312,B,138.21
312,C,142.36
312,D,146.63
312,E,151.03
312,F,155.56
312,G,160.23
312,H,165.04
313,A,426.17
313,B,438.96
313,C,452.13
313,D,465.69
313,E,479.66
313,F,494.05
313,G,508.87
313,H,524.14
314,A,29.25
314,B,30.13
314,C,31.03
314,D,31.96
314,E,32.92
314,F,33.91
314,G,34.93
314,H,35.98
315,A,60.44
315,B,62.25
315,C,64.12
315,D,66.04
315,E,68.02
